Zeit;pv
08.02. 09:00;45,191
08.02. 10:00;62,391
08.02. 11:00;77,254
08.02. 12:00;101,61
08.02. 13:00;118,02
08.02. 14:00;99,353
08.02. 15:00;46,719
08.02. 16:00;12,044
08.02. 17:00;0
08.02. 18:00;0
08.02. 19:00;0
08.02. 20:00;0
08.02. 21:00;0
08.02. 22:00;0
08.02. 23:00;0
09.02. 00:00;0
09.02. 01:00;0
09.02. 02:00;0
09.02. 03:00;0
09.02. 04:00;0
09.02. 05:00;0
09.02. 06:00;0
09.02. 07:00;0
09.02. 08:00;11,525
09.02. 09:00;21,803
09.02. 10:00;46,208
09.02. 11:00;84,537
09.02. 12:00;56,563
09.02. 13:00;43,502
09.02. 14:00;65,879
09.02. 15:00;41,077
09.02. 16:00;2,8347
09.02. 17:00;0
09.02. 18:00;0
09.02. 19:00;0
09.02. 20:00;0
09.02. 21:00;0
09.02. 22:00;0
09.02. 23:00;0
10.02. 00:00;0
10.02. 01:00;0
10.02. 02:00;0
10.02. 03:00;0
10.02. 04:00;0
10.02. 05:00;0
10.02. 06:00;0
10.02. 07:00;0
10.02. 08:00;24,195
10.02. 09:00;48,155
10.02. 10:00;54,31
10.02. 11:00;61,717
10.02. 12:00;77,625
10.02. 13:00;90,938
10.02. 14:00;85,308
10.02. 15:00;56,173
10.02. 16:00;15,046
10.02. 17:00;0
10.02. 18:00;0
10.02. 19:00;0
10.02. 20:00;0
10.02. 21:00;0
10.02. 22:00;0
10.02. 23:00;0
11.02. 00:00;0
11.02. 01:00;0
11.02. 02:00;0
11.02. 03:00;0
11.02. 04:00;0
11.02. 05:00;0
11.02. 06:00;0
11.02. 07:00;0,97759
11.02. 08:00;32,244
11.02. 09:00;69,926
11.02. 10:00;105,1
11.02. 11:00;122,06
11.02. 12:00;119,02
11.02. 13:00;119,68
11.02. 14:00;97,691
11.02. 15:00;61,497
11.02. 16:00;17,334
11.02. 17:00;0
11.02. 18:00;0
11.02. 19:00;0
11.02. 20:00;0
11.02. 21:00;0
11.02. 22:00;0
11.02. 23:00;0
12.02. 00:00;0
12.02. 01:00;0
12.02. 02:00;0
12.02. 03:00;0
12.02. 04:00;0
12.02. 05:00;0
12.02. 06:00;0
12.02. 07:00;0
12.02. 08:00;6,7421
12.02. 09:00;49,425
12.02. 10:00;76,726
12.02. 11:00;95,429
12.02. 12:00;97,031
12.02. 13:00;82,275
12.02. 14:00;72,108
12.02. 15:00;51,123
12.02. 16:00;12,516
12.02. 17:00;0
12.02. 18:00;0
12.02. 19:00;0
12.02. 20:00;0
12.02. 21:00;0
12.02. 22:00;0
12.02. 23:00;0
13.02. 00:00;0
13.02. 01:00;0
13.02. 02:00;0
13.02. 03:00;0
13.02. 04:00;0
13.02. 05:00;0
13.02. 06:00;0
13.02. 07:00;0
13.02. 08:00;15,141
